,City
3716,Antwerp
3717,Antwerp
3718,Antwerp
3719,Antwerp
3720,Antwerp
3721,Antwerp
3722,Antwerp
3723,Antwerp
3724,Antwerp
3725,Antwerp
3726,Antwerp
3727,Antwerp
3728,Antwerp
3729,Antwerp
3732,Antwerp
3733,Antwerp
3734,Antwerp
3735,Antwerp
3736,Antwerp
3737,Antwerp
3738,Antwerp
3739,Antwerp
3740,Antwerp
3741,Antwerp
3742,Antwerp
3743,Antwerp
3744,Antwerp
3745,Antwerp
3746,Antwerp
3747,Antwerp
3748,Antwerp
3749,Antwerp
3750,Antwerp
3751,Antwerp
3752,Antwerp
3753,Antwerp
3754,Antwerp
3755,Antwerp
3756,Antwerp
3757,Antwerp
3758,Antwerp
3759,Antwerp
3764,Antwerp
3765,Antwerp
3766,Antwerp
3773,Antwerp
3774,Antwerp
3775,Antwerp
3779,Antwerp
3780,Antwerp
3781,Antwerp
3785,Antwerp
3786,Antwerp
3787,Antwerp
3792,Antwerp
3793,Antwerp
3794,Antwerp
3795,Antwerp
3796,Antwerp
3797,Antwerp
3807,Antwerp
3808,Antwerp
3809,Antwerp
3810,Antwerp
3817,Antwerp
3824,Antwerp
3825,Antwerp
3826,Antwerp
3827,Antwerp
3828,Antwerp
3835,Antwerp
3842,Antwerp
3843,Antwerp
3844,Antwerp
3845,Antwerp
3846,Antwerp
3853,Antwerp
3860,Antwerp
3861,Antwerp
3862,Antwerp
3863,Antwerp
3864,Antwerp
3871,Antwerp
3878,Antwerp
3879,Antwerp
3880,Antwerp
3881,Antwerp
3882,Antwerp
3893,Antwerp
3894,Antwerp
3895,Antwerp
3896,Antwerp
3897,Antwerp
3908,Antwerp
3909,Antwerp
3910,Antwerp
3911,Antwerp
3912,Antwerp
3923,Antwerp
3924,Antwerp
3925,Antwerp
3926,Antwerp
3927,Antwerp
3934,Antwerp
3937,Antwerp
3944,Antwerp
3945,Antwerp
3946,Antwerp
3947,Antwerp
3948,Antwerp
3955,Antwerp
3962,Antwerp
3963,Antwerp
3964,Antwerp
3965,Antwerp
3966,Antwerp
3973,Antwerp
3976,Antwerp
3984,Antwerp
3985,Antwerp
3986,Antwerp
3987,Antwerp
3988,Antwerp
3989,Antwerp
4001,Antwerp
4002,Antwerp
4003,Antwerp
4004,Antwerp
4005,Antwerp
4012,Antwerp
4015,Antwerp
4018,Antwerp
4021,Antwerp
4024,Antwerp
4028,Antwerp
4029,Antwerp
4034,Antwerp
4035,Antwerp
4039,Antwerp
4042,Antwerp
4045,Antwerp
4048,Antwerp
4058,Antwerp
4059,Antwerp
4060,Antwerp
4061,Antwerp
4062,Antwerp
4063,Antwerp
4064,Antwerp
4065,Antwerp
4075,Antwerp
4078,Antwerp
4081,Antwerp
4084,Antwerp
4087,Antwerp
4090,Antwerp
4094,Antwerp
4097,Antwerp
4100,Antwerp
4103,Antwerp
4106,Antwerp
4109,Antwerp
4112,Antwerp
4115,Antwerp
4118,Antwerp
4121,Paris
4124,Paris
4127,Paris
4130,Paris
4133,Paris
4136,Paris
4139,Paris
4142,Paris
4145,Paris
4148,Paris
4151,Paris
4154,Paris
4157,Paris
4160,Paris
4167,Paris
4168,Paris
4169,Paris
4170,Paris
4171,Paris
4172,Paris
4185,Paris
4186,Paris
4187,Paris
4188,Paris
4189,Paris
4190,Paris
4207,Paris
4208,Paris
4209,Paris
4210,Paris
4211,Paris
4212,Paris
4213,Paris
4214,Paris
4215,Paris
4216,Paris
4217,Paris
4230,Paris
4233,Paris
4236,Paris
4239,Paris
4242,Paris
4245,Paris
4248,Paris
4256,Paris
4257,Paris
4258,Paris
4259,Paris
4260,Paris
4261,Paris
4268,Paris
4271,Paris
4277,Paris
4278,Paris
4279,Paris
4280,Paris
4289,Paris
4290,Paris
4291,Paris
4292,Paris
4298,Paris
4301,Paris
4304,Paris
4312,Paris
4313,Paris
4314,Paris
4315,Paris
4316,Paris
4317,Paris
4325,Paris
4328,Paris
4331,Paris
4334,Paris
4337,Paris
4340,Paris
4343,Paris
4346,Paris
4349,Paris
4352,Paris
4355,Paris
4358,Paris
4361,Paris
4364,Paris
4367,Paris
4370,Paris
4373,Paris
4376,Paris
4379,Paris
4382,Paris
4387,Paris
4388,Paris
4389,Paris
4395,Paris
4396,Paris
4400,Paris
4403,Paris
4409,Paris
4410,Paris
4411,Paris
4412,Paris
4418,Paris
4421,Paris
4427,Paris
4428,Paris
4429,Paris
4430,Paris
4437,Paris
4442,Paris
4443,Paris
4444,Paris
4449,Paris
4457,Paris
4458,Paris
4459,Paris
4460,Paris
4461,Paris
4462,Paris
4463,Paris
4471,Paris
4474,Paris
4481,Paris
4482,Paris
4483,Paris
4484,Paris
4485,Paris
4486,Paris
4487,Paris
4488,Paris
4496,Paris
4504,Paris
4505,Paris
4506,Paris
4507,Paris
4508,Paris
4509,Paris
4510,Paris
4511,Paris
4542,Paris
4543,Paris
4544,Paris
4545,Paris
4546,Paris
4547,Paris
4548,Paris
4549,Paris
4550,Paris
4551,Paris
4552,Paris
4553,Paris
4554,Paris
4555,Paris
4556,Paris
4557,Paris
4558,Paris
4559,Paris
4560,Paris
4561,Paris
4562,Paris
4563,Paris
4587,Paris
4590,Paris
4593,Paris
4596,Paris
4599,Paris
4603,Paris
4605,Paris
4616,Paris
4617,Paris
4618,Paris
4619,Paris
4620,Paris
4621,Paris
4622,Paris
4623,Paris
4633,Paris
4636,Paris
4643,Paris
4644,Paris
4645,Paris
4646,Paris
4647,Paris
4648,Paris
4654,Paris
4655,Paris
4660,Paris
4661,Paris
4673,Paris
4674,Paris
4675,Paris
4676,Paris
4677,Paris
4678,Paris
4679,Paris
4680,Paris
4681,Paris
4695,Paris
4696,Paris
4697,Paris
4698,Paris
4708,Paris
4709,Paris
4710,Paris
4711,Paris
4712,Paris
4721,Paris
4722,Paris
4723,Paris
4728,Paris
4753,Paris
4754,Paris
4755,Paris
4756,Paris
4757,Paris
4758,Paris
4759,Paris
4760,Paris
4761,Paris
4762,Paris
4763,Paris
4764,Paris
4765,Paris
4766,Paris
4767,Paris
4768,Paris
4769,Paris
4770,Paris
4771,Paris
4772,Paris
4773,Paris
4774,Paris
4775,Paris
4776,Paris
4777,Paris
4778,Paris
4779,Paris
4780,Paris
4781,Paris
4815,Paris
4816,Paris
4817,Paris
4826,Paris
4827,Paris
4828,Paris
4829,Paris
4830,Paris
4836,Paris
4839,Paris
4847,Paris
4848,Paris
4849,Paris
4850,Paris
4851,Paris
4852,Paris
4860,Paris
4866,Paris
4867,Paris
4868,Paris
4869,Paris
4870,Paris
4871,Paris
4879,Paris
4888,Paris
4889,Paris
4890,Paris
4891,Paris
4892,Paris
4900,Paris
4903,Paris
4911,Paris
4912,Paris
4913,Paris
4914,Paris
4915,Paris
4916,Paris
4924,Paris
4928,Paris
4929,Paris
4934,Paris
4935,Paris
4939,Paris
4942,Paris
4945,Paris
4948,Paris
4951,Paris
4954,Paris
4957,Paris
4960,Paris
4963,Paris
4966,Paris
4969,Paris
4972,Paris
4975,Paris
4978,Paris
4981,Paris
4984,Paris
4987,Paris
4990,Paris
4993,Paris
4996,Paris
4999,Paris
5002,Paris
5005,Amsterdam
5008,Amsterdam
5011,Amsterdam
5014,Amsterdam
5017,Amsterdam
5020,Amsterdam
5023,Amsterdam
5026,Amsterdam
5029,Amsterdam
5032,Amsterdam
5035,Amsterdam
5038,Amsterdam
5041,Amsterdam
5047,Amsterdam
5048,Amsterdam
5049,Amsterdam
5050,Amsterdam
5059,Amsterdam
5060,Amsterdam
5061,Amsterdam
5062,Amsterdam
5076,Amsterdam
5077,Amsterdam
5078,Amsterdam
5079,Amsterdam
5080,Amsterdam
5081,Amsterdam
5082,Amsterdam
5083,Amsterdam
5092,Amsterdam
5095,Amsterdam
